Résumé,Clé de ticket,Lien de ticket sortant (Duplicate)
"RH / Gestion Employé / Fichier du personnel - Mise à jour du service Non pris en compte dans le fichier du personnel",OD-2198,OBCS-7721
"Non affichage du détail d'une ligne budgétaire dans le budget prévu-réalisé",OD-2197,OBCS-7720
"Export Fichier du personnel - Mise à jour des données",OD-2196,OBCS-7719
"Nous constatons un déversement des employés d'une autre entité dans celle de S-TEL",OD-2195,OBCS-7718
"Une message d'erreur à l'enregistrement des timesheet (error success: Undefined)",OD-2194,OBCS-7717
"Sur les formulaires, faudrait faire apparaitre uniquement les types d'achat rattaché à un workflow de l'entité",OD-2193,OBCS-7699
"Au calcul de la paie des journaliers, certains journaliers n'apparaissent pas",OD-2192,OBCS-7655
"Permettre de définir les jours travaillés avec des nombres décimaux (Exemple : 2.5 jours travaillés)",OD-2191,OBCS-7654
"Comptabilité Générale - Donner la possibilité d'appliquer des filtres sur chaque Champ du formulaire",OD-2190,OBCS-7649
"RH/Paramétrage Société/Organigramme / Donner la possibilité d'intégrer plusieurs type d'organigramme - ECORIGINE",OD-2189,OBCS-7648
"Dysfonctionnement Grade - ECORIGINE",OD-2188,OBCS-7647
"Doublon constaté dans l’historique des contrats employés - Ecorigine",OD-2187,OBCS-7646
"Impossible d'enregistrer un staffing quand un projet a plusieurs sous-projet",OD-2186,OBCS-7645
"Dans la partie ""Opération à valider"" , les utilisateurs ne voient pas que les demande à leur niveau mais l'ensemble des demande (Cas de demande d'absence et Programmation de salaire confirmer avec l'écran de plusieurs utilisateurs)",OD-2185,OBCS-7644
"Inclure le RAN à l'édition d'une balance à 4 colonnes.",OD-2184,OBCS-7640
"Modèle de grand livre général et tiers avec total général débit, total général crédit et le solde global.",OD-2183,OBCS-7639
"Nous constatons dans le grand livre général que le compte 139000 (écriture du résultat net RAN) est lié au code journal PCAISS (petite caisse)",OD-2182,OBCS-7638
"Sur le formulaire d'expression de besoin , les employés ne se déverse pas (voir capture joint",OD-2181,OBCS-7636
"Quand on es sur une base qui a plusieurs entité et qu'on sélectionne une entité comme base de travail, nous constatons que les départements de toute les entités se déversent en historique de département",OD-2180,OBCS-7635
"RH/Gestion Employé/Fichier_Personnel - Bien que les employés aient un contrat, il marque dans le fichier impossible contrat indisponible avec l'icone Rouge au lieu de bleu",OD-2179,OBCS-7601
"Le cumul du stock de congé part de la date d'embauche au lieu de la date du stock de démarrage",OD-2178,OBCS-7567
"Message d'erreur à la suppression d'une ligne budgétaire",OD-2177,OBCS-7538
"Quand un utilisateur enregistre une expression de besoin les autres demandeurs reçoivent la notification par mail",OD-2176,OBCS-7537
"Lorsqu'on saisit les montants d'un budget de dépenses d'un département pour un mois, nous constatons à la modification qu'il n'apparait qu'une seule ligne au lieu de toutes les lignes qui constituent le montant global apparaissant en historique",OD-2175,OBCS-7536
"Faire en sorte que au rechargement de l'historique Gestion Opportunité on puisse rester sur l'historique et non sur le formulaire de création",OD-2174,OBCS-7535
"Rendre cliquable les badges ""Etape Encours par nombre opportunité"" de sorte à filtrer l'historique en fonction de l'étape ",OD-2173,OBCS-7534
"Modèle affichage facture vente Kori Transport",OD-2172,OBCS-7533
"Lien Programmation de salaire",OD-2171,OBCS-7532
"Quand on enregistre une expression de besoin et qu’on choisi une “nature de besoin”, les champs disparaissent . Ce qui empêche de terminer l’enregistrement",OD-2170,OBCS-7531
"Modification de la ville sur les documents Bénin",OD-2168,OBCS-7527
"Afficher le nom complet des employés lors dans les listes déroulantes ""sélectionner un employé""",OD-2167,OBCS-7526
"Impossible de valider un bon d'entrée (voir capture joint)",OD-2166,OBCS-7525
"l'amélioration du temps d'affichage du fichier du personnel",OD-2165,OBCS-7520
"Lorsqu'on lance la paie sur OCB(Bénin), le sursalaire d'un employé reste à 0",OD-2164,OBCS-7519
"Impossible de programmer et modifier la paie des journaliers ou paie Occasionnel",OD-2163,OBCS-7518
"Absence de rubrique enregistré dans les notes de frais - Avec Edition impossible",OD-2162,OBCS-7517
"Lorsqu'une expression de besoin est validé, les utilisateurs autorisés à faire les cotations ne reçoivent pas de mail",OD-2161,OBCS-7516
"Message d'erreur apparaissant lorsqu'on clique sur ""Pilotage commercial""",OD-2160,OBCS-7515
"Ordonner du premier compte au dernier compte dans l'historique du plan comptable tiers et général",OD-2159,OBCS-7514
"Lorsque j'enregistre une note dans CRM, le message ci-joint apparaît et ne me permets pas de réaliser l'enregistrement. ",OD-2158,OBCS-7513
"Message d'erreur",OD-2157,OBCS-7512
"Supprimer les doublons au niveau des comptes tiers",OD-2156,OBCS-7511
"Enregistrer une demande d'absence mais le nombre de jours pris est anormal",OD-2155,
"Restructuration Formulaire création Organigramme",OD-2154,OBCS-7507
"RH- Paramétrage Société / Impossible de modifier élément d'un organigramme",OD-2153,OBCS-7506
"lorsqu'on ajoute plus d'un interlocuteur à l'enregistrement du prospect ce message joint s'affiche.",OD-2152,OBCS-7505
"Implémenter les types de biens terrains nus pour les programmes BTP",OD-2151,OBCS-7504
"Paramétrage Trésorerie - Impossible d'importer les données - Création banque",OD-2150,OBCS-7496
"Impossible d'enregistrer de lier 2 enfants à un fichier de personnel",OD-2149,OBCS-7481
"Impossible de supprimer un département auquel n'est associé aucune personne",OD-2148,OBCS-7480
"Sur une base ayant 2 entités,quand l'organigramme d'une entité est paramétré , nous constatons que ce paramétrage est automatiquement déversé sur la deuxième entité (voir capture)",OD-2147,OBCS-7479
"Message d’erreur, importation nouveau plan comptable",OD-2146,OBCS-7477
"Un message d'erreur apparaît lorsqu'on sélectionne un bon de commande à l'enregistrement d'une facture achat",OD-2145,OBCS-7476
"Dans les workflow, les personnes en sommeil qui reçoivent l'information d'une demande n'arrivent pas à voir la demande complète dans le mail (Voir capture joint)",OD-2144,OBCS-7455
"Affichage des valeurs décimales à l'impression d'un bon de commande",OD-2142,OBCS-7453
"Amélioration extraction",OD-2141,OBCS-7444
"(Urgent) Lorsqu'on enregistre une absence constaté, le supérieur hiérarchique recoit un mail pour validation, ce qui n'est pas normal. (voir pièce jointe)",OD-2140,OBCS-7442
"Quand on clique sur la demande de sortie en étant dans le suivi de commande de pièces il apparait dans le détail article “sélectionner un article “ au lieu du nom de l’article",OD-2139,OBCS-7441
"Possibilité d'imprimer le rapport de dépenses liés aux projets.",OD-2138,OBCS-7436
"Le type de demande dans le suivi de commande de pièces est dysfonctionnel",OD-2137,OBCS-7435
"Les prix unitaires des articles de stock n'apparaissent pas dans le formulaire de la maintenance curative.",OD-2136,OBCS-7434
"Impossible de supprimer une ligne en plus présent sur le workflow or aucune règle n'a été associé",OD-2135,OBCS-7433
"Le nom complet des employés dans le formulaire de demande de sortie n'apparait plus.",OD-2134,OBCS-7432
"Sur l'entité ""ONPOINT MANAGEMENT""  de l'entreprise ""ARTIS HOLDING"" ,le formulaire des opérations de caisse n'apparait pas et l'historique est différent des autres bases clients (Voir capture joint)",OD-2133,OBCS-7431
"Urgent : Suppression - Plan comptable Entité Ecorigine",OD-2132,OBCS-7430
"Quand on import l'historique des opérations de caisse, le solde est différent de celui qu'on constate lorsqu'on est connecté sur OBC",OD-2131,OBCS-7429
"Export Fichier du personnel : Ajouter la colonne n° de téléphone",OD-2130,OBCS-7428
"Correction Bug CRM Activité Historique : impossible d'éditer une activité lorsqu'une note est enregistré",OD-2129,OBCS-7427
"enlever le filtre du milieu des filtres historique opportunités (cela occupe assez d'espace) : les mettre dans un badge de façon horizontale comme celui de règlement de facture",OD-2128,OBCS-7426
"Sur le Dashboard CRM, Graphes Suivi Mensuel Opportunités : rendre cumulatif le graphe suivi mensuel opportunités selon les statuts (ils ne doivent pas revenir au point zéro)",OD-2127,OBCS-7425
"Ordonner activité par date réelle début plutôt que par date d'enregistrement réelle",OD-2126,OBCS-7424
"RH / Salaire / Document - Rubrique inconnu sur le bulletin",OD-2125,OBCS-7423
"Possibilité d'utiliser les rubriques retenues dans la colonne retenue même si elle vient avant le salaire brut. (Calcul de salaire et bulletin)",OD-2124,OBCS-7422
"Mise à jour Stock disponible - Parc Auto",OD-2123,OBCS-7359
"Impossible de supprimer un bordereau de transfert",OD-2122,OBCS-7358
"A l'enregistrement du bon de livraison, lorsqu'on sélection le bon de commande les lignes ne respectent pas le même ordre du bon de commande ",OD-2121,OBCS-7357
"A l'édition du bulletin de salaire lorsque le montant de la rubrique est négatif il ne s'affiche pas sur le bulletin",OD-2120,OBCS-7351
"Interrogation de compte - Affichage de récapitulatif",OD-2119,OBCS-7350
"Mouvement détaillé de stock par article, lorqu'on exporte les mouvements détaillés, il ne tient pas compte du filtre. Il exporte plutôt tous les mouvements.",OD-2117,OBCS-7348
"Créer le modèle de bulletin de salaire (voir pièce jointe)",OD-2116,OBCS-7347
"Cohérence des données du Dashboard Accueil",OD-2115,OBCS-7346
"Mauvais affichage de livre de paie général",OD-2113,OBCS-7344
"Après une demande d'achat, nous constatons dans le mail reçu par le demandeur qu'une personne mis en sommeil est la personne devant valider la demande ",OD-2112,OBCS-7343
"(Urgent) Un bon de commande qui existe en historique ne se déverse pas sur le formulaire de facture pourtant on a plusieurs factures déjà édité à parti de ce bon de commande",OD-2111,OBCS-7342
"Suppression du bordereau de retour BR--2 du 30 Mars 2024",OD-2110,OBCS-7334
"Modification de date fin de congés avant impression d'attestation de retour de congés",OD-2109,OBCS-7291
"Nous avons constaté que le récapitulatif des stock n’apparait plus lorsqu’on choisi “stock” comme nature du besoin (voir capture)",OD-2108,OBCS-7262
"RH/Gestion Employé/Contrat ... - Affichage de département Inconnu dans les données du client",OD-2107,OBCS-7261
"les Etats financiers : Lorqu'on sélectionne une période à supprimer, il supprime tout les états générés de l’exercice comptable",OD-2106,OBCS-7260
"Nous constatons une lenteur de plus d'une heure lorsqu'on lance une requête de validation en masse",OD-2105,OBCS-7259
"Nous constatons qu'un bon de commande enregistré n'apparait pas dans le workflow pour validation",OD-2104,OBCS-7258
"Nous constatons à l'enregistrement d'un bordereau de transfert seulement deux articles qui se déversent au lieu d'une vingtaine d'articles",OD-2103,OBCS-7257
"Impossible d'enregistrer un stock initial malgré que le magasin ne soit pas en historique des bordereaux d'entrée",OD-2102,OBCS-7256
"Intégration d'attestation type CSCTICAO",OD-2101,OBCS-7255
"Un message s'affiche à l'enregistrement d'une nouvelle entité. Capture jointe",OD-2100,OBCS-7253
"A l'enregistrement d'un bordereau d'entré en stock, le prix unitaire récupéré est le prix d'achat au lieu du coût de revient de l'article.",OD-2099,OBCS-7252
"Possibilité d'exporter le RAN dans le solde de démarrage des comptes",OD-2098,OBCS-7159
"L'affichage de requêtes workflows indisponible pour la validation des factures ventes",OD-2097,OBCS-7158
"Les rubriques de paie FDFP ne s'affichent pas dans le calcul de paie malgré qu'elles soient paramétrées",OD-2096,OBCS-7157
"L'édition du bordereau de sortie 580 du 30/03/2024 n'affiche pas le détail",OD-2095,OBCS-7156
"Ecritures à suprimer journal vente. Lorsqu'on veut supprimer un méssage disant qu'elle est liée à une avance alors que la facture été modifiée et générée une nouvelle écriture.",OD-2094,OBCS-7155
"Amélioration formulaire Duplication Budget",OD-2093,OBCS-7154
"Sur le formulaire de gestion des projets, lorsqu'on utilise le bouton ""utiliser toute les phases"", et qu'on défini les informations que quelques phases, OBC exige qu'on remplisse les autres champs vide",OD-2092,OBCS-7153
"Impossible d'enregistrer des tâches sur un projets, on a un message d'erreur qui apparaitv(voir pièce jointe)",OD-2091,OBCS-7152
"Finance - Budget / Donner la possibilité de revalider et supprimer un budget modifié.",OD-2090,OBCS-7150
"la base de travail d'un compte utilisateur n'affiche pas le nom de l'entité",OD-2089,OBCS-7149
"Sur les bulletins de salaire, bien qu'on ai choisi ""Virement"" comme mode de règlement du salaire, nous avons l'inscription ""Chèque"" marqué",OD-2088,OBCS-7148
"RH - Document / Intégration modèle de livre de paie",OD-2086,OBCS-7146
"Finance - Opérations de Caisse & Catégorie de prestation / Les natures de prestations liées aux catégories de type Investissement ne se déversent pas lors d'une opération de caisse",OD-2085,OBCS-7144
"Possibilité d'utiliser la demande de sortie de caisse validée jusqu'à son épuisement",OD-2084,OBCS-7143
"Finance - Budget : Rajouter le rôle de Validation",OD-2083,OBCS-7142
"Mauvais déversement des écritures de paie OHADA dans les opérations de paie qui affichent un écart qui ne correspond à aucun compte paramétré dans leur base",OD-2082,OBCS-7141
"Impossible d'ajouter une deuxième ligne de prestation sur le formulaire de facture vente (voir capture",OD-2081,OBCS-7140
"Module Finance / Budget d'investissement - Aucune rubrique ne se déverse lorsqu'on sélectionne Budget d'investissement",OD-2080,OBCS-7139
"Des comptes tiers clients s'affichent sur la balnce générale.",OD-2079,OBCS-7138
"Ajouter une colonne dans l'historique du plan comptable tiers affichant le compte général auquel les comptes tiers sont ratacchés.",OD-2078,OBCS-7137
"Ajouter colonne ""date début réel"" de l’activité dans historique de activité CRM",OD-2077,OBCS-7080
"Impression de bordereau de retour impossible",OD-2076,OBCS-7079
"Ranger la liste dans l'ordre décroissant (la date la plus récente à la date la plus ancienne) les fonctionnalités suivantes :  voir le détail",OD-2075,OBCS-7078
"Lors des opérations d'interco, le numéro de compte général généré par l'entité bénéficiaire est le numéro de compte général de l'entité émetrice.",OD-2074,OBCS-7077
"Un message d'erreur à l'enregistrement d'une facture achat",OD-2073,OBCS-7076
"Impossibe d'exporter la prise de carburant",OD-2071,OBCS-7060
